INTERFACE found: org/slf4j/Logger.class
REGULAR CLASS found: org/slf4j/LoggerFactory.class
REGULAR CLASS found: org/slf4j/LoggerFactoryFriend.class
REGULAR CLASS found: org/slf4j/MDC$MDCCloseable.class
REGULAR CLASS found: org/slf4j/MDC.class
REGULAR CLASS found: org/slf4j/MarkerFactory.class
REGULAR CLASS found: org/slf4j/event/DefaultLoggingEvent.class
REGULAR CLASS found: org/slf4j/event/EventConstants.class
REGULAR CLASS found: org/slf4j/event/EventRecordingLogger.class
REGULAR CLASS found: org/slf4j/event/KeyValuePair.class
ENUM found: org/slf4j/event/Level.class
INTERFACE found: org/slf4j/event/LoggingEvent.class
REGULAR CLASS found: org/slf4j/event/SubstituteLoggingEvent.class
ABSTRACT CLASS found: org/slf4j/helpers/AbstractLogger.class
REGULAR CLASS found: org/slf4j/helpers/BasicMDCAdapter$1.class
REGULAR CLASS found: org/slf4j/helpers/BasicMDCAdapter.class
REGULAR CLASS found: org/slf4j/helpers/BasicMarker.class
REGULAR CLASS found: org/slf4j/helpers/BasicMarkerFactory.class
REGULAR CLASS found: org/slf4j/helpers/FormattingTuple.class
ABSTRACT CLASS found: org/slf4j/helpers/LegacyAbstractLogger.class
ABSTRACT CLASS found: org/slf4j/helpers/MarkerIgnoringBase.class
REGULAR CLASS found: org/slf4j/helpers/MessageFormatter.class
REGULAR CLASS found: org/slf4j/helpers/NOPLogger.class
REGULAR CLASS found: org/slf4j/helpers/NOPLoggerFactory.class
REGULAR CLASS found: org/slf4j/helpers/NOPMDCAdapter.class
REGULAR CLASS found: org/slf4j/helpers/NOP_FallbackServiceProvider.class
ABSTRACT CLASS found: org/slf4j/helpers/NamedLoggerBase.class
REGULAR CLASS found: org/slf4j/helpers/NormalizedParameters.class
REGULAR CLASS found: org/slf4j/helpers/SubstituteLogger.class
REGULAR CLASS found: org/slf4j/helpers/SubstituteLoggerFactory.class
REGULAR CLASS found: org/slf4j/helpers/SubstituteServiceProvider.class
REGULAR CLASS found: org/slf4j/helpers/ThreadLocalMapOfStacks.class
REGULAR CLASS found: org/slf4j/helpers/Util$ClassContextSecurityManager.class
REGULAR CLASS found: org/slf4j/helpers/Util.class
REGULAR CLASS found: org/slf4j/spi/DefaultLoggingEventBuilder.class
REGULAR CLASS found: org/slf4j/spi/NOPLoggingEventBuilder.class
REGULAR CLASS found: org/apache/commons/io/ByteOrderMark.class
REGULAR CLASS found: org/apache/commons/io/ByteOrderParser.class
REGULAR CLASS found: org/apache/commons/io/Charsets.class
REGULAR CLASS found: org/apache/commons/io/CopyUtils.class
REGULAR CLASS found: org/apache/commons/io/DirectoryWalker$CancelException.class
ABSTRACT CLASS found: org/apache/commons/io/DirectoryWalker.class
REGULAR CLASS found: org/apache/commons/io/EndianUtils.class
REGULAR CLASS found: org/apache/commons/io/FileCleaner.class
