DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
jakarta.servlet:jakarta.servlet-api:4.0.4,true,0,3202,0,333,0,44
org.apache.commons:commons-lang3:3.3.1,true,0,60079,0,2728,0,202
com.sun.xml.bind:jaxb-impl:2.4.0-b180830.0438,true,0,59101,0,3171,0,502
xom:xom:1.3.9,true,2015,52943,128,1704,15,244
org.apache.lucene:lucene-sandbox:7.5.0,false,0,0,0,0,0,0
org.apache.lucene:lucene-analyzers-common:7.5.0,true,0,72649,0,444,0,26
org.apache.lucene:lucene-queryparser:7.5.0,true,0,0,0,0,0,0
org.glassfish:javax.json:1.0.4,true,3112,7692,119,397,27,50
org.ejml:ejml-fsparse:0.39,false,107,30209,5,682,3,63
org.slf4j:slf4j-api:1.7.12,true,160,2561,23,237,7,18
joda-time:joda-time:2.10.5,true,12748,65871,784,3969,121,221
javax.xml.bind:jaxb-api:2.4.0-b180830.0359,true,0,240,0,5,0,1
org.ejml:ejml-zdense:0.39,false,0,13399,0,210,0,24
com.apple:AppleJavaExtensions:1.4,true,0,289,0,94,0,15
org.apache.lucene:lucene-queries:7.5.0,false,0,0,0,0,0,0
org.ejml:ejml-ddense:0.39,true,204,303105,6,3412,4,278
xml-apis:xml-apis:1.4.01,false,0,14249,0,890,0,146
de.jollyday:jollyday:0.4.9,true,0,6039,0,369,0,70
org.ejml:ejml-simple:0.39,true,250,16738,22,857,4,134
org.apache.lucene:lucene-core:7.5.0,true,0,17795,0,439,0,40
org.ejml:ejml-core:0.39,true,351,31781,21,1090,5,80
org.ejml:ejml-fdense:0.39,false,0,0,0,0,0,0
xalan:xalan:2.7.3,true,0,508675,0,13154,0,1488
xalan:serializer:2.7.3,true,0,59154,0,1435,0,129
org.ejml:ejml-cdense:0.39,false,0,0,0,0,0,0
com.google.protobuf:protobuf-java:3.19.6,true,4666,193024,346,10145,58,526
javax.activation:javax.activation-api:1.2.0,true,0,4134,0,172,0,27
com.google.code.findbugs:jsr305:3.0.2,false,0,153,0,9,0,5
com.sun.istack:istack-commons-runtime:3.0.7,true,0,1782,0,122,0,14
xerces:xercesImpl:2.12.2,false,16068,267253,580,8536,115,768
org.ejml:ejml-dsparse:0.39,false,0,0,0,0,0,0
