DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
org.slf4j:slf4j-api:1.7.32,false,0,3452,0,349,0,23
com.google.guava:guava:31.1-jre,true,3187,184567,224,12934,64,1791
com.google.errorprone:error_prone_annotations:2.11.0,false,0,124,0,1,0,1
org.apache.httpcomponents.core5:httpcore5:5.1.3,false,0,57873,0,3614,0,474
commons-codec:commons-codec:1.15,false,0,49312,0,923,0,96
org.checkerframework:checker-qual:3.27.0,true,0,1777,0,26,0,7
org.apache.httpcomponents.client5:httpclient5:5.1.3,false,0,48513,0,2600,0,405
commons-logging:commons-logging:1.2,false,1050,5670,71,297,13,27
org.antlr:antlr4-runtime:4.11.1,true,11405,33553,574,1536,110,188
com.google.j2objc:j2objc-annotations:1.3,false,0,48,0,2,0,2
org.javassist:javassist:3.28.0-GA,false,0,92916,0,3874,0,402
org.apache.httpcomponents.core5:httpcore5-h2:5.1.3,false,0,19590,0,778,0,121
commons-collections:commons-collections:3.2.2,false,26,57713,3,3900,1,422
com.google.code.findbugs:jsr305:3.0.2,false,0,153,0,9,0,5
org.xmlresolver:xmlresolver:4.4.3,false,2250,17298,48,423,14,76
commons-beanutils:commons-beanutils:1.9.4,true,2917,27312,159,1256,40,127
com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava,false,0,0,0,0,0,0
net.sf.saxon:Saxon-HE:11.4,true,37174,498563,1449,20115,319,2095
com.google.guava:failureaccess:1.0.1,false,0,6,0,2,0,2
org.reflections:reflections:0.10.2,true,0,8760,0,585,0,70
info.picocli:picocli:4.7.0,true,0,46402,0,1848,0,179
