DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
com.carrotsearch:hppc:0.8.1,true,6305,124695,274,5175,49,635
com.fasterxml.jackson.core:jackson-annotations:2.10.5,false,1003,4283,49,247,15,29
com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.10.5,true,0,10112,0,512,0,40
org.codehaus.woodstox:stax2-api:4.2.1,false,3,19624,1,1204,1,101
com.google.protobuf:protobuf-java:3.11.4,false,2105,192017,159,10114,35,519
com.fasterxml.jackson.core:jackson-databind:2.10.5.1,true,28244,128455,1675,6781,274,578
org.codehaus.janino:janino:3.1.2,true,24715,79655,1362,3666,207,402
org.openstreetmap.osmosis:osmosis-osm-binary:0.47.3,true,2648,27968,133,1604,27,61
jakarta.activation:jakarta.activation-api:1.2.2,false,0,4124,0,172,0,27
commons-io:commons-io:2.7,false,0,27031,0,1580,0,165
org.apache.xmlgraphics:xmlgraphics-commons:2.7,true,0,86398,0,2589,0,318
org.codehaus.janino:commons-compiler:3.1.2,false,383,7528,40,415,16,105
com.fasterxml.jackson.core:jackson-core:2.10.5,true,7416,66808,296,2142,49,104
jakarta.xml.bind:jakarta.xml.bind-api:2.3.3,false,0,243,0,5,0,1
com.graphhopper:graphhopper-web-api:6.0-SNAPSHOT,true,427,2438,39,79,22,32
org.locationtech.jts:jts-core:1.15.1,true,7025,92083,396,4297,78,484
org.slf4j:slf4j-api:1.7.36,true,438,3452,37,349,7,23
com.fasterxml.woodstox:woodstox-core:6.2.1,false,7366,166405,244,6757,36,851
com.graphhopper.external:jackson-datatype-jts:0.12-2.5-1,true,420,1050,27,55,12,14
com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.10.5,false,0,2795,0,111,0,10
