DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
com.google.guava:guava:30.1-jre,true,13664,177664,1209,12852,292,1827
javax.inject:javax.inject:1,true,0,0,0,0,0,0
aopalliance:aopalliance:1.0,true,0,67,0,8,0,1
com.google.j2objc:j2objc-annotations:1.3,false,0,48,0,2,0,2
org.ow2.asm:asm:9.2,true,7580,24356,184,542,19,37
com.google.code.findbugs:jsr305:3.0.1,false,0,153,0,9,0,5
com.google.errorprone:error_prone_annotations:2.3.4,false,0,0,0,0,0,0
com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava,false,0,0,0,0,0,0
com.google.guava:failureaccess:1.0.1,false,3,6,1,2,1,2
org.checkerframework:checker-qual:3.5.0,false,0,3470,0,169,0,20
