DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
io.netty:netty-common:4.1.86.Final,false,8819,47133,661,3009,149,409
io.helidon.media:helidon-media-jsonp:2.5.6,true,142,686,18,68,7,10
io.helidon.webserver:helidon-webserver-cors:2.5.6,true,7645,22146,533,1513,100,166
io.netty:netty-resolver:4.1.86.Final,false,282,1835,24,101,9,25
org.jboss:jandex:2.3.1.Final,true,0,23286,0,1008,0,92
io.helidon.common:helidon-common-media-type:2.5.6,false,3539,5817,99,264,24,37
io.netty:netty-buffer:4.1.86.Final,false,6052,43036,392,3324,54,117
io.netty:netty-codec-http:4.1.86.Final,false,5964,70618,332,3444,68,380
io.netty:netty-codec:4.1.86.Final,false,24,33767,2,698,1,127
io.helidon.media:helidon-media-common:2.5.6,false,1434,4410,125,356,33,61
org.glassfish:jakarta.json:1.1.6,true,3782,11853,152,720,40,74
io.helidon.common:helidon-common-http:2.5.6,false,2752,6067,126,369,30,49
org.eclipse.microprofile.config:microprofile-config-api:1.4,false,0,72,0,9,0,3
jakarta.json.bind:jakarta.json.bind-api:1.0.2,false,0,275,0,29,0,4
io.netty:netty-transport:4.1.86.Final,false,8280,33238,628,2421,103,296
io.smallrye:smallrye-open-api-jaxrs:2.0.26,true,0,1876,0,78,0,8
io.netty:netty-codec-http2:4.1.86.Final,false,0,52566,0,1990,0,215
io.opentracing:opentracing-api:0.33.0,false,0,291,0,26,0,13
io.netty:netty-transport-native-unix-common:4.1.86.Final,false,0,3008,0,228,0,24
io.helidon.common:helidon-common-mapper:2.5.6,false,4,506,1,45,1,10
io.smallrye:smallrye-open-api-core:2.0.26,true,2388,31950,320,1802,37,198
org.jboss.logging:jboss-logging:3.2.1.Final,false,0,7940,0,569,0,29
org.eclipse:yasson:1.0.11,true,0,139,0,18,0,6
io.helidon.logging:helidon-logging-common:2.5.6,false,18,51,3,9,1,1
io.helidon.common:helidon-common-reactive:2.5.6,false,1273,16592,111,1242,30,191
jakarta.annotation:jakarta.annotation-api:1.3.5,false,0,24,0,1,0,1
io.helidon.common:helidon-common-configurable:2.5.6,false,104,3637,12,260,5,33
io.opentracing:opentracing-noop:0.33.0,false,20,131,6,54,4,11
io.helidon.config:helidon-config:2.5.6,true,5014,15266,456,1322,105,192
io.helidon.common:helidon-common:2.5.6,false,0,0,0,0,0,0
io.helidon.common:helidon-common-key-util:2.5.6,false,0,1652,0,86,0,10
org.eclipse.microprofile.openapi:microprofile-openapi-api:1.2,true,522,2297,40,290,17,52
io.helidon.common:helidon-common-context:2.5.6,false,420,810,41,85,7,11
io.netty:netty-handler:4.1.86.Final,false,622,38957,43,2096,10,303
io.helidon.webserver:helidon-webserver:2.5.6,true,0,0,0,0,0,0
org.yaml:snakeyaml:1.32,true,14550,30482,640,1108,155,211
io.opentracing:opentracing-util:0.33.0,false,14,218,3,26,1,5
io.helidon.tracing:helidon-tracing-config:2.5.6,false,84,905,11,95,5,18
io.helidon.common:helidon-common-service-loader:2.5.6,true,264,424,26,39,4,4
