DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
org.aspectj:aspectjrt:1.9.9.1,true,0,9924,0,509,0,66
commons-io:commons-io:2.11.0,true,368,30080,29,1892,5,189
org.checkerframework:checker-qual:3.12.0,false,0,1777,0,26,0,7
org.mockito:mockito-core:4.6.1,false,0,0,0,0,0,0
org.glassfish:javax.json:1.1.4,true,4248,11858,182,720,32,74
com.google.errorprone:error_prone_annotations:2.11.0,false,0,124,0,1,0,1
com.sun.xml.bind:jaxb-impl:4.0.0,true,0,52333,0,2791,0,439
commons-logging:commons-logging:1.2,false,1065,5670,70,297,13,27
com.jcabi:jcabi-immutable:1.5,true,270,1886,18,134,4,9
org.apache.commons:commons-lang3:3.12.0,true,362,73560,23,3780,4,293
org.antlr:antlr4-runtime:4.10.1,false,0,33521,0,1530,0,186
org.apache.httpcomponents:httpclient:4.5.13,true,7141,54691,431,2824,125,392
com.jcabi:jcabi-http:1.20.1,true,2641,8637,161,464,28,60
com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava,false,0,0,0,0,0,0
jakarta.xml.bind:jakarta.xml.bind-api:4.0.0,false,0,6888,0,466,0,56
com.jcabi:jcabi-manifests:1.2.1,false,0,499,0,28,0,5
org.slf4j:slf4j-api:2.0.0-beta1,false,860,4681,83,505,19,36
com.jcabi:jcabi-log:0.22.0,true,858,3655,47,157,11,36
javax.validation:validation-api:2.0.1.Final,false,0,0,0,0,0,0
com.sun.jersey:jersey-core:1.12,false,2566,34506,96,1688,24,265
org.apache.httpcomponents:httpcore:4.4.15,true,5965,24020,383,1364,74,166
com.google.guava:guava:31.1-jre,true,1605,184567,125,12934,51,1791
com.jcabi:jcabi-xml:0.25.3,true,499,3219,23,190,5,17
org.cactoos:cactoos:0.54.0,false,155,15983,20,1702,8,303
jakarta.activation:jakarta.activation-api:2.1.0,false,0,4810,0,207,0,35
commons-codec:commons-codec:1.15,false,0,0,0,0,0,0
org.hamcrest:hamcrest:2.2,true,1635,5929,207,682,50,103
com.sun.jersey:jersey-client:1.12,true,3,9455,1,727,1,72
com.sun.xml.bind:jaxb-core:4.0.0,true,0,13699,0,882,0,120
com.jcabi.incubator:xembly:0.28.1,true,746,5310,50,237,13,35
com.google.j2objc:j2objc-annotations:1.3,false,0,48,0,2,0,2
com.jcabi:jcabi-aspects:0.24.1,true,0,4138,0,179,0,29
org.eclipse.angus:angus-activation:1.0.0,false,0,1977,0,55,0,8
com.google.code.findbugs:jsr305:3.0.2,false,0,153,0,9,0,5
com.google.guava:failureaccess:1.0.1,false,0,6,0,2,0,2
