DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
org.jetbrains.kotlinx:kotlinx-coroutines-core:1.6.2,true,0,0,0,0,0,0
org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.6.21,true,90,9852,6,857,4,103
javax.inject:javax.inject:1,true,0,0,0,0,0,0
org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.6.21,false,0,6805,0,312,0,40
commons-io:commons-io:2.11.0,true,425,30080,28,1892,6,189
org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm:1.6.2,false,1502,45803,123,2585,53,615
org.reactivestreams:reactive-streams:1.0.3,false,0,381,0,39,0,9
com.typesafe:config:1.4.2,true,7198,28080,393,1278,76,150
org.ow2.asm:asm-analysis:9.3,false,3060,34472,101,879,24,85
org.unbescape:unbescape:1.1.6.RELEASE,true,0,34489,0,531,0,67
org.ow2.asm:asm-tree:9.3,false,0,0,0,0,0,0
org.jetbrains.kotlin:kotlin-reflect:1.6.21,true,0,194406,0,8616,0,1543
io.projectreactor:reactor-core:3.4.18,true,0,126969,0,7273,0,829
org.jetbrains.kotlin:kotlin-stdlib:1.6.21,false,529,144452,37,6175,17,493
org.ow2.asm:asm:9.3,true,0,584,0,41,0,3
com.github.vladimir-bukhtoyarov:bucket4j-core:6.4.1,true,0,8735,0,633,0,80
org.ow2.asm:asm-util:9.3,true,0,17487,0,487,0,23
org.slf4j:slf4j-api:1.7.36,true,0,3452,0,349,0,23
com.google.code.findbugs:jsr305:3.0.2,true,44,153,1,9,1,5
io.reactivex.rxjava2:rxjava:2.2.21,true,0,152840,0,9330,0,1544
org.jetbrains:annotations:13.0,false,0,6,0,2,0,2
org.jetbrains.kotlin:kotlin-stdlib-common:1.6.21,false,0,0,0,0,0,0
