DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.5.30,false,0,16106,0,947,0,103
org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.5.30,false,0,84736,0,3074,0,153
io.netty:netty-transport:4.1.85.Final,true,8407,33199,684,2419,122,296
javax.inject:javax.inject:1,true,0,0,0,0,0,0
io.reactivex:rxjava-reactive-streams:1.2.1,true,26,10778,4,922,3,112
javax.el:javax.el-api:3.0.0,false,0,4564,0,242,0,43
org.jetbrains.kotlinx:kotlinx-coroutines-jdk8:1.5.2,true,0,12253,0,738,0,145
org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm:1.5.2,false,0,38184,0,2058,0,533
io.netty:netty-transport-native-epoll:4.1.85.Final,true,0,0,0,0,0,0
org.latencyutils:LatencyUtils:2.0.3,true,884,2124,44,95,16,19
org.hdrhistogram:HdrHistogram:2.1.12,true,2467,18253,151,985,16,81
javax.enterprise:cdi-api:2.0.SP1,true,0,2227,0,202,0,64
org.apache.commons:commons-pool2:2.11.1,true,138,11064,16,696,3,68
org.jetbrains.kotlin:kotlin-stdlib:1.5.30,true,0,72643,0,3417,0,368
io.zipkin.reporter2:zipkin-reporter-brave:2.16.3,false,244,7289,26,375,11,60
io.netty:netty-resolver-dns:4.1.85.Final,true,2354,12487,139,639,42,114
io.netty:netty-codec-dns:4.1.85.Final,false,660,15354,25,1113,16,98
io.netty.incubator:netty-incubator-transport-native-io_uring:0.0.16.Final,true,0,0,0,0,0,0
io.netty.incubator:netty-incubator-transport-classes-io_uring:0.0.16.Final,false,3223,9361,176,521,27,41
io.reactivex:rxjava:1.3.8,true,267,59455,33,3691,22,864
io.reactivex.rxjava3:rxjava:3.1.5,true,623,178466,74,11286,38,1655
io.netty:netty-common:4.1.85.Final,true,11315,47091,827,3009,175,409
org.jetbrains:annotations:13.0,false,0,6,0,2,0,2
org.jetbrains.kotlin:kotlin-stdlib-common:1.5.30,false,0,0,0,0,0,0
io.netty:netty-resolver:4.1.85.Final,false,0,0,0,0,0,0
io.netty:netty-transport-classes-epoll:4.1.85.Final,false,171,12332,10,732,4,61
org.reactivestreams:reactive-streams:1.0.4,false,0,381,0,39,0,9
io.netty:netty-tcnative-classes:2.0.54.Final,false,0,1489,0,59,0,18
io.netty:netty-transport-native-kqueue:4.1.85.Final,true,0,0,0,0,0,0
io.netty:netty-transport-native-unix-common:4.1.85.Final,false,444,3008,38,228,11,24
io.projectreactor:reactor-core:3.4.25,true,4989,132803,409,7455,104,838
io.zipkin.brave:brave:5.13.11,true,2522,19947,170,1240,59,221
org.jetbrains.kotlinx:kotlinx-coroutines-reactive:1.5.2,true,0,2084,0,104,0,21
io.netty:netty-buffer:4.1.85.Final,false,6783,43049,403,3324,48,117
io.netty:netty-handler:4.1.85.Final,true,803,38957,38,2096,11,303
io.netty:netty-transport-classes-kqueue:4.1.85.Final,false,59,8636,4,551,2,47
io.micrometer:micrometer-core:1.9.6,true,2974,44828,263,3216,57,309
io.netty:netty-tcnative:2.0.54.Final,true,0,0,0,0,0,0
io.zipkin.zipkin2:zipkin:2.23.2,false,0,19951,0,768,0,125
io.zipkin.reporter2:zipkin-reporter:2.16.3,false,0,3,0,1,0,1
com.google.code.findbugs:jsr305:3.0.2,true,0,153,0,9,0,5
io.reactivex.rxjava2:rxjava:2.2.21,true,453,133241,55,7905,34,1531
io.netty:netty-codec:4.1.85.Final,false,0,33534,0,683,0,125
javax.interceptor:javax.interceptor-api:1.2,false,0,0,0,0,0,0
