DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
io.github.x-stream:mxparser:1.2.2,false,0,8728,0,78,0,1
org.ops4j.pax.url:pax-url-aether:2.6.12,true,263,421756,12,17452,3,2009
net.java.dev.jna:jna:5.5.0,true,2621,21243,121,815,33,91
org.ops4j.pax.url:pax-url-aether-support:2.6.12,false,0,13365,0,565,0,64
javax.annotation:javax.annotation-api:1.3.2,false,0,0,0,0,0,0
net.openhft:posix:2.25ea0,true,108,2506,10,167,5,24
net.openhft:chronicle-threads:2.25ea5,true,534,6747,37,360,14,45
com.github.jnr:jnr-a64asm:1.0.0,false,0,18650,0,473,0,43
org.apache.commons:commons-lang3:3.12.0,false,0,0,0,0,0,0
net.java.dev.jna:jna-platform:5.5.0,true,19,60905,3,3274,1,1029
org.apache.maven.resolver:maven-resolver-named-locks:1.8.2,false,0,974,0,56,0,14
org.apache.maven.resolver:maven-resolver-util:1.8.2,false,0,14661,0,608,0,102
org.ow2.asm:asm:9.2,false,4422,24356,107,542,16,37
org.slf4j:slf4j-api:1.7.36,true,278,3452,26,349,6,23
org.slf4j:jcl-over-slf4j:1.7.32,false,0,1290,0,122,0,8
org.apache.maven.resolver:maven-resolver-spi:1.8.2,false,0,1292,0,138,0,20
net.openhft:chronicle-algorithms:2.25ea0,true,2838,12902,192,786,43,81
net.openhft:chronicle-values:2.25ea3,true,10575,19139,468,725,53,68
com.github.jnr:jffi:1.3.12,false,2319,15257,111,770,36,109
net.openhft:chronicle-wire:2.25ea10,true,16136,79134,848,3810,141,358
com.github.jnr:jnr-ffi:2.2.15,false,8156,52054,381,2821,107,547
com.github.jnr:jnr-x86asm:1.0.2,false,6422,58686,15,2974,11,74
com.github.jnr:jnr-constants:0.10.4,false,0,207258,0,5370,0,1037
xmlpull:xmlpull:1.1.3.1,false,0,633,0,19,0,3
com.squareup:javapoet:1.13.0,false,4814,11195,198,442,26,34
org.codehaus.jettison:jettison:1.5.4,true,2574,9084,141,534,21,44
net.openhft:affinity:3.23.3,true,422,6286,34,291,6,44
net.openhft:compiler:2.25ea2,false,692,1419,34,56,7,8
org.apache.maven.resolver:maven-resolver-impl:1.8.2,false,0,6445,0,289,0,58
net.openhft:chronicle-bytes:2.25ea7,true,7756,47096,481,2251,67,163
org.apache.maven.resolver:maven-resolver-api:1.8.2,false,0,8462,0,708,0,75
net.openhft:chronicle-core:2.25ea10,true,8136,32708,587,1862,101,248
net.openhft:chronicle-analytics:2.25ea0,false,159,1178,12,63,4,12
com.thoughtworks.xstream:xstream:1.4.20,true,11086,51735,635,2688,199,429
