DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,530,1182,99,842,98,1639
dep_1,true,672,1811,146,785,45,756
dep_2,true,927,1157,74,685,69,1054
dep_3,false,266,1881,123,1613,136,1585
dep_4,true,873,1765,57,1588,55,771
dep_5,true,247,1002,18,534,161,731
dep_6,true,519,1234,33,1809,40,1462
dep_7,true,662,1821,164,929,5,1409
dep_8,false,994,1704,64,1356,54,1110
dep_9,true,137,1451,35,1442,84,731
dep_10,false,627,1563,178,1334,44,1393
dep_11,true,365,1992,147,701,199,1498
dep_12,true,140,1290,59,1609,72,1650
dep_13,false,541,1706,54,1777,150,1923
dep_14,true,689,1443,116,1765,148,752
dep_15,false,978,1122,47,1293,22,733
dep_16,false,334,2000,36,1010,132,1757
dep_17,true,435,1276,48,1328,64,1903
dep_18,false,897,1741,144,1153,157,1708
dep_19,true,708,1698,182,1826,10,685
dep_20,false,801,1383,22,1855,192,1021
dep_21,true,569,1991,59,918,100,697
dep_22,false,714,1579,25,705,26,946
dep_23,true,536,1673,197,1918,123,734
dep_24,true,497,1466,179,692,194,1159
dep_25,true,367,1981,67,1313,46,1321
dep_26,true,126,1974,47,1282,187,1366
dep_27,false,531,1577,28,1380,176,1360
dep_28,true,373,1934,133,570,78,845
dep_29,false,288,1985,44,1383,145,932
