DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,328,1323,16,1320,175,1788
dep_1,true,650,1260,29,529,149,602
dep_2,true,164,1877,199,729,83,722
dep_3,true,471,1603,26,1337,56,709
dep_4,true,756,1381,108,973,181,1901
dep_5,false,950,1025,87,1523,185,1346
dep_6,true,1000,1117,119,562,141,726
dep_7,true,243,1234,179,1002,76,889
dep_8,false,128,1021,85,1241,175,1293
dep_9,true,289,1760,81,1699,143,1906
dep_10,false,800,1281,41,1159,43,1286
dep_11,false,595,1406,145,519,94,1277
dep_12,true,668,1472,139,798,190,1978
dep_13,true,926,1248,82,1493,122,776
dep_14,false,427,1918,89,653,199,1655
dep_15,false,426,1487,31,1590,155,993
dep_16,false,624,1230,127,1635,120,1440
dep_17,false,263,1644,182,1623,51,1975
dep_18,false,259,1802,58,1658,27,1100
dep_19,false,396,1135,55,1001,116,1933
dep_20,true,546,1875,67,1739,199,940
dep_21,false,687,1331,50,881,159,1957
dep_22,true,151,1574,102,589,118,1392
dep_23,true,181,1811,39,1405,164,637
dep_24,false,789,1090,181,1008,36,1912
dep_25,true,539,1289,59,1753,169,1674
dep_26,true,543,1128,175,1356,118,1416
dep_27,false,188,1448,104,1396,8,653
dep_28,true,195,1317,155,1359,157,1867
dep_29,true,966,1988,53,561,23,1751
