DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,184,1380,162,1380,161,1620
dep_1,false,117,1541,152,1055,71,1068
dep_2,false,713,1233,146,1082,173,1937
dep_3,false,240,1179,32,786,88,1110
dep_4,true,300,1960,136,1315,62,1836
dep_5,true,987,1107,191,574,33,1946
dep_6,false,747,1018,177,1335,33,1642
dep_7,true,780,1697,116,1225,176,1248
dep_8,false,209,1949,37,1563,108,1384
dep_9,false,805,1661,143,1310,66,1567
dep_10,false,639,1243,128,1020,63,911
dep_11,true,780,1452,119,911,101,1068
dep_12,false,571,1529,96,1870,198,1927
dep_13,true,251,1630,76,1297,56,1158
dep_14,false,816,1032,154,592,113,1868
dep_15,false,443,1988,135,1011,126,611
dep_16,true,329,1211,45,906,54,737
dep_17,true,905,1195,136,1111,131,1103
dep_18,false,907,1930,79,1301,8,1541
dep_19,false,904,1212,55,1310,131,615
dep_20,true,793,1202,61,1975,6,1116
dep_21,true,160,1406,71,655,181,818
dep_22,true,547,1030,44,1714,42,1658
dep_23,true,842,1717,75,1217,167,1323
dep_24,false,293,1220,155,1405,189,1053
dep_25,false,383,1472,194,1731,180,1341
dep_26,true,759,1515,107,1115,54,1336
dep_27,false,340,1234,70,590,174,1803
dep_28,true,677,1114,28,1362,89,739
dep_29,true,682,1049,177,1594,127,697
