DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,510,1496,123,692,129,1889
dep_1,false,856,1680,100,1262,170,1390
dep_2,true,286,1353,130,1332,93,783
dep_3,true,860,1494,200,1232,88,1544
dep_4,false,926,1465,140,1510,43,1108
dep_5,false,591,1644,178,1613,34,727
dep_6,true,255,1490,127,685,164,1991
dep_7,false,967,1285,99,1609,105,622
dep_8,true,401,1822,85,1922,151,672
dep_9,false,343,1687,65,1709,177,874
dep_10,true,998,1111,135,727,32,765
dep_11,true,170,1761,101,1203,28,1124
dep_12,true,646,1549,15,1165,76,1079
dep_13,true,904,1761,71,1754,9,1145
dep_14,false,530,1513,176,941,121,1506
dep_15,true,687,1101,163,1889,84,1111
dep_16,true,853,1419,43,1101,93,1922
dep_17,false,833,1879,12,518,66,1442
dep_18,false,898,1022,13,712,154,1137
dep_19,false,645,1484,24,917,105,1570
dep_20,true,523,1623,169,1473,148,1637
dep_21,true,572,1878,73,739,188,929
dep_22,true,501,1519,150,1303,191,1298
dep_23,false,107,1461,188,687,20,1571
dep_24,false,992,1899,73,1723,161,1035
dep_25,false,897,1602,62,1698,176,1236
dep_26,true,166,1825,185,1241,35,1724
dep_27,false,396,1712,182,1448,17,1739
dep_28,true,463,1339,197,1952,88,1018
dep_29,true,669,1278,73,1133,41,1798
