DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,true,217,1675,187,1412,157,705
dep_1,true,590,1268,37,1052,123,1729
dep_2,true,944,1765,62,1835,168,1107
dep_3,true,829,1388,177,1312,125,1587
dep_4,true,567,1027,34,1088,137,1904
dep_5,true,124,1213,65,1057,144,1475
dep_6,false,686,1656,180,1598,153,753
dep_7,true,462,1999,62,1060,44,1071
dep_8,false,984,1716,182,1965,77,1607
dep_9,false,484,1128,37,1870,189,1776
dep_10,true,992,1160,195,669,10,1161
dep_11,true,862,1159,35,1121,124,1145
dep_12,true,370,1378,182,852,84,1201
dep_13,false,268,1285,144,1314,23,1126
dep_14,false,834,1136,200,1181,24,1624
dep_15,false,378,1268,71,1173,56,1043
dep_16,false,150,1098,110,1422,46,1524
dep_17,true,103,1092,58,1466,194,1576
dep_18,true,448,1418,196,1599,139,658
dep_19,false,317,1101,42,1824,29,759
dep_20,false,414,1250,177,1152,92,1167
dep_21,false,244,1749,56,1190,12,1611
dep_22,false,906,1112,56,667,99,1757
dep_23,true,364,1305,115,981,86,896
dep_24,false,808,1325,145,1228,197,748
dep_25,false,830,1106,23,730,14,1253
dep_26,true,986,1659,38,845,99,1900
dep_27,false,974,1576,144,788,34,687
dep_28,true,335,1220,174,1305,107,1498
dep_29,false,364,1389,193,774,86,1558
