DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,749,1791,111,1950,165,1195
dep_1,false,535,1658,60,843,196,937
dep_2,false,582,1706,15,1937,13,1269
dep_3,true,343,1843,129,555,49,704
dep_4,false,438,1077,190,775,37,937
dep_5,true,455,1680,105,1257,79,1306
dep_6,false,643,1615,67,542,152,725
dep_7,false,837,1900,38,1792,23,1401
dep_8,false,611,1343,80,650,77,1602
dep_9,true,866,1044,37,1762,97,1030
dep_10,true,267,1755,192,1919,63,1544
dep_11,false,777,1440,107,1664,140,896
dep_12,true,730,1301,155,1904,32,1935
dep_13,false,456,1921,108,553,116,1595
dep_14,true,253,1749,173,1699,12,1308
dep_15,true,760,1509,46,1175,137,1280
dep_16,false,808,1499,12,1684,60,1242
dep_17,true,407,1411,55,1354,105,1261
dep_18,false,585,1328,32,1679,95,1467
dep_19,true,578,1605,164,1754,6,717
dep_20,false,738,1945,197,699,167,1069
dep_21,true,903,1724,182,801,94,832
dep_22,true,208,1896,187,700,9,1292
dep_23,true,644,1818,121,1223,128,1200
dep_24,true,997,1670,120,1491,59,1627
dep_25,false,567,1024,87,1892,62,1904
dep_26,false,685,1638,154,1836,81,889
dep_27,true,608,1313,72,1299,75,1931
dep_28,true,501,1914,45,1791,163,1227
dep_29,false,112,1728,19,1205,9,1169
