DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
org.apache.flink:flink-shaded-asm-9:9.5-17.0,false,2001,45763,56,1406,6,115
org.objenesis:objenesis:2.1,false,6,1976,2,94,2,34
org.apache.flink:flink-annotations:1.19.0,false,0,48,0,3,0,1
com.google.code.findbugs:jsr305:1.3.9,true,0,153,0,9,0,5
org.apache.commons:commons-lang3:3.12.0,true,623,73560,20,3780,6,293
org.apache.commons:commons-math3:3.6.1,true,35987,364139,63,8404,21,1075
org.apache.flink:flink-shaded-jackson:2.14.2-17.0,false,0,298341,0,12996,0,1167
com.esotericsoftware.minlog:minlog:1.2,false,44,417,2,32,2,2
com.esotericsoftware.kryo:kryo:2.24.0,false,5865,58319,228,1617,50,178
commons-collections:commons-collections:3.2.2,false,0,57713,0,3900,0,422
org.apache.commons:commons-compress:1.24.0,false,12,135782,1,4364,1,476
org.slf4j:slf4j-api:1.7.36,true,283,3452,27,349,5,23
com.twitter:chill-java:0.7.6,true,123,8846,13,251,11,53
org.apache.flink:flink-core:1.19.0,true,31159,136169,1406,7236,339,932
org.snakeyaml:snakeyaml-engine:2.6,false,0,23541,0,941,0,203
org.apache.flink:flink-metrics-core:1.19.0,false,8,807,2,112,1,27
org.apache.flink:flink-shaded-guava:31.1-jre-17.0,false,907,184573,94,12936,35,1793
org.apache.flink:flink-shaded-force-shading:17.0,true,0,0,0,0,0,0
org.apache.commons:commons-text:1.10.0,false,0,26557,0,1202,0,128
