DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,733,1154,96,504,57,1841
dep_1,true,140,1727,57,1594,137,1303
dep_2,true,863,1412,131,1107,76,1602
dep_3,false,917,1706,84,904,90,716
dep_4,true,945,1349,29,1482,104,1429
dep_5,true,252,1113,121,1599,14,1456
dep_6,true,300,1891,189,972,141,602
dep_7,true,521,1133,98,1111,75,1660
dep_8,true,701,1187,94,1683,97,1109
dep_9,false,628,1479,199,732,125,666
dep_10,true,476,1042,17,774,185,1903
dep_11,false,531,1956,61,837,71,1637
dep_12,true,382,1666,61,1466,35,1034
dep_13,true,951,1367,83,1648,71,1577
dep_14,true,844,1001,115,1306,109,1505
dep_15,true,644,1260,63,1627,83,1625
dep_16,false,708,1607,88,924,199,1944
dep_17,true,962,1222,136,1591,90,878
dep_18,true,282,1819,46,1486,51,1531
dep_19,false,109,1843,197,1629,146,1915
dep_20,true,959,1903,107,1647,159,1756
dep_21,false,569,1381,31,1720,136,1772
dep_22,true,428,1856,118,811,102,1140
dep_23,false,853,1466,198,1249,71,765
dep_24,false,168,1433,49,658,7,942
dep_25,false,480,1825,191,538,130,1588
dep_26,true,172,1296,31,629,56,1019
dep_27,false,299,1912,99,566,22,633
dep_28,false,399,1876,58,652,92,1712
dep_29,false,970,1113,56,1576,40,943
