DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,695,1591,170,514,184,1797
dep_1,false,636,1325,153,1292,162,1769
dep_2,true,415,1886,179,1624,52,1071
dep_3,false,908,1017,23,718,96,1570
dep_4,true,708,1552,147,918,47,1261
dep_5,false,508,1678,94,1133,119,1124
dep_6,false,797,1742,112,1071,69,1697
dep_7,false,965,1858,70,1725,65,829
dep_8,true,585,1616,89,1814,45,1070
dep_9,false,719,1691,153,1508,164,1978
dep_10,false,374,1125,70,1456,95,983
dep_11,true,795,1004,123,1472,47,1419
dep_12,true,394,1798,164,1836,171,1422
dep_13,false,509,1914,175,1421,198,905
dep_14,true,929,1712,160,1045,60,1436
dep_15,true,413,1650,198,1924,172,1084
dep_16,false,870,1332,21,1581,157,879
dep_17,false,479,1419,81,1495,142,1954
dep_18,true,679,1450,179,1736,58,1284
dep_19,false,871,1686,17,1558,91,1182
dep_20,true,891,1300,15,854,46,809
dep_21,false,728,1775,78,1123,53,940
dep_22,false,632,1739,171,881,180,1036
dep_23,true,466,1768,174,504,117,1714
dep_24,true,431,1831,150,888,99,1282
dep_25,true,744,1572,162,1593,22,944
dep_26,false,306,1704,146,1148,133,796
dep_27,true,379,1560,181,1614,45,673
dep_28,false,984,1758,69,1519,84,1142
dep_29,true,578,1373,112,906,94,996
