DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,458,1962,58,1373,174,1619
dep_1,false,663,1290,84,622,139,639
dep_2,true,757,1599,165,1987,82,1673
dep_3,true,284,1640,92,1850,180,1388
dep_4,false,631,1667,44,1285,180,1247
dep_5,false,708,1114,115,1509,21,1993
dep_6,true,617,1502,179,1663,12,1028
dep_7,false,360,1286,183,1754,183,1620
dep_8,true,478,1259,92,1211,55,1827
dep_9,true,540,1377,47,636,182,930
dep_10,false,819,1228,165,850,143,1749
dep_11,false,248,1460,132,725,197,668
dep_12,false,902,1120,127,798,109,1197
dep_13,false,791,1287,136,631,185,1334
dep_14,true,971,1476,103,1514,183,1085
dep_15,false,839,1921,186,1929,71,693
dep_16,false,160,1798,57,1786,20,1154
dep_17,true,352,1792,98,1765,121,1133
dep_18,true,737,1354,70,667,114,1241
dep_19,true,589,1999,127,1612,29,1144
dep_20,false,244,1934,60,1249,16,771
dep_21,false,949,1310,69,1424,158,791
dep_22,false,217,1212,110,651,11,1102
dep_23,true,774,1147,91,1726,98,1493
dep_24,true,857,1668,173,1635,173,737
dep_25,false,902,1049,135,921,74,1051
dep_26,false,544,1840,181,1710,79,1059
dep_27,true,382,1623,137,1107,85,605
dep_28,true,593,1452,118,832,101,1229
dep_29,false,193,1855,82,606,97,1564
