DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,542,1399,123,1523,68,1785
dep_1,false,909,1665,92,1133,150,775
dep_2,false,691,1382,156,1403,32,1644
dep_3,true,518,1020,120,1202,131,794
dep_4,true,892,1350,97,567,50,1888
dep_5,false,672,1736,153,1213,122,1259
dep_6,false,524,1880,46,945,172,952
dep_7,false,155,1209,164,1590,100,675
dep_8,false,345,1263,160,1860,38,655
dep_9,true,928,1418,132,729,25,1479
dep_10,true,168,1870,58,1634,169,1056
dep_11,true,462,1634,30,1834,103,1051
dep_12,false,404,1049,174,1079,6,1126
dep_13,false,407,1656,69,900,44,1947
dep_14,false,185,1878,79,946,109,1491
dep_15,true,187,1964,160,1010,178,621
dep_16,false,843,1946,87,1651,186,924
dep_17,true,564,1746,82,1481,86,676
dep_18,true,295,1837,127,1299,180,1567
dep_19,true,841,1181,191,1737,140,1132
dep_20,true,349,1832,79,548,29,610
dep_21,false,503,1069,112,653,80,1199
dep_22,false,727,1309,37,1669,144,1879
dep_23,false,249,1109,118,1260,23,729
dep_24,false,609,1087,30,1262,45,1870
dep_25,true,456,1174,114,1883,105,1238
dep_26,true,162,1786,13,1576,56,1171
dep_27,false,876,1354,104,1888,193,754
dep_28,false,384,1671,86,760,75,726
dep_29,true,813,1718,39,761,164,740
