DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,true,762,1052,80,960,46,1506
dep_1,true,559,1432,137,1904,190,1165
dep_2,false,140,1745,40,1725,127,1008
dep_3,false,205,1014,198,1135,70,1732
dep_4,true,704,1511,162,1067,141,1890
dep_5,false,949,1452,68,568,126,1090
dep_6,true,724,1461,52,1458,51,725
dep_7,true,719,1841,197,936,151,1634
dep_8,false,460,1666,141,1795,44,1379
dep_9,true,405,1219,127,1090,84,1389
dep_10,false,861,1571,116,1691,165,777
dep_11,false,479,1031,34,911,74,1699
dep_12,false,508,1999,195,1552,36,1103
dep_13,true,976,1893,164,1141,118,1069
dep_14,false,787,1513,159,1244,163,1921
dep_15,true,864,1889,172,818,136,754
dep_16,true,702,1448,170,1480,89,788
dep_17,false,286,1814,89,1120,99,652
dep_18,false,258,1705,76,1108,144,1965
dep_19,false,381,1838,146,1877,5,673
dep_20,true,164,1194,155,1022,145,943
dep_21,false,846,1572,33,1732,112,1459
dep_22,true,826,1408,167,946,163,1898
dep_23,true,434,1612,131,1693,149,1285
dep_24,true,615,1199,123,1496,61,1470
dep_25,true,995,1736,166,1846,68,1097
dep_26,true,895,1367,172,1058,96,1189
dep_27,true,254,1299,55,649,83,1485
dep_28,true,605,1007,100,1473,34,1887
dep_29,true,708,1666,171,983,9,1908
