DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,true,911,1404,193,1259,87,691
dep_1,false,247,1728,68,1813,177,1889
dep_2,false,390,1703,151,1154,175,1044
dep_3,false,107,1241,112,1342,131,1518
dep_4,true,991,1128,23,1919,108,1825
dep_5,true,905,1148,135,754,174,1521
dep_6,false,650,1470,107,1346,125,1760
dep_7,false,748,1981,39,1029,77,1322
dep_8,true,206,1605,75,1741,127,1574
dep_9,false,619,1286,24,797,160,1415
dep_10,false,877,1589,67,1379,134,1403
dep_11,true,976,1022,78,1999,141,645
dep_12,false,901,1563,76,726,70,1074
dep_13,false,999,1204,74,1912,101,1210
dep_14,false,758,1211,58,1061,38,1016
dep_15,false,299,1213,93,1540,106,915
dep_16,true,701,1537,52,512,94,945
dep_17,false,582,1238,130,1266,56,1694
dep_18,false,630,1642,174,695,143,1260
dep_19,false,214,1181,133,851,16,1971
dep_20,true,992,1673,182,1270,13,715
dep_21,false,322,1694,85,663,189,1093
dep_22,true,519,1250,97,1369,27,1534
dep_23,true,855,1588,15,1124,5,1822
dep_24,true,716,1129,21,1056,90,983
dep_25,false,743,1137,129,1144,55,1254
dep_26,false,788,1397,75,1475,45,1050
dep_27,false,725,1392,92,1350,172,722
dep_28,true,832,1396,82,1705,179,1546
dep_29,true,776,1087,168,610,188,917
