DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,true,579,1405,146,559,153,1233
dep_1,true,466,1921,123,1210,114,1632
dep_2,true,304,1173,64,697,145,1475
dep_3,true,666,1535,67,618,16,1226
dep_4,true,655,1594,60,1860,56,1641
dep_5,false,487,1749,162,910,171,1259
dep_6,false,912,1283,42,973,93,1567
dep_7,false,521,1754,137,643,18,877
dep_8,true,183,1864,148,994,148,1168
dep_9,true,535,1385,79,1614,154,968
dep_10,false,683,1156,87,785,48,700
dep_11,true,692,1062,146,987,106,1045
dep_12,false,348,1710,160,1866,139,667
dep_13,true,320,1959,21,1203,32,1655
dep_14,false,550,1298,121,606,180,772
dep_15,true,876,1756,85,729,53,1366
dep_16,false,365,1111,187,1933,81,1764
dep_17,false,857,1349,27,1339,89,1636
dep_18,true,311,1294,193,1085,55,1707
dep_19,true,957,1443,106,1571,149,1669
dep_20,true,674,1373,136,1591,33,734
dep_21,false,648,1200,109,1980,44,914
dep_22,true,218,1641,69,904,54,718
dep_23,true,464,1571,187,1328,120,1946
dep_24,false,347,1110,137,816,38,1552
dep_25,true,104,1704,199,874,159,1976
dep_26,true,336,1379,181,1136,26,837
dep_27,false,978,1107,151,1697,121,662
dep_28,true,285,1167,142,1370,37,617
dep_29,false,895,1798,81,1594,64,811
