DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,true,296,1338,72,843,137,1071
dep_1,false,622,1612,15,1528,131,755
dep_2,true,500,1267,71,1696,113,1175
dep_3,false,593,1198,108,1600,154,1275
dep_4,true,539,1254,187,1074,135,1839
dep_5,true,244,1221,192,1958,33,1969
dep_6,true,527,1147,183,1265,146,1288
dep_7,false,323,1302,96,1514,114,1636
dep_8,true,420,1470,27,1645,136,1847
dep_9,true,449,1456,160,1210,142,690
dep_10,false,727,1782,163,541,6,1604
dep_11,false,127,1886,76,1640,8,745
dep_12,true,185,1929,72,1362,35,917
dep_13,false,982,1471,12,942,28,1545
dep_14,false,396,1280,95,918,110,1411
dep_15,false,580,1598,49,1802,18,680
dep_16,true,320,1870,102,573,45,638
dep_17,false,538,1310,79,1899,109,1191
dep_18,false,783,1133,24,1954,76,1036
dep_19,false,799,1462,61,682,192,1106
dep_20,false,686,1218,86,1270,102,1446
dep_21,true,633,1903,127,727,66,1532
dep_22,false,181,1586,53,1561,19,1800
dep_23,true,617,1181,112,799,137,1253
dep_24,false,795,1316,179,1424,161,1668
dep_25,false,772,1607,171,771,68,1327
dep_26,false,641,1525,136,733,47,900
dep_27,true,383,1949,44,748,135,1390
dep_28,true,197,1079,114,1367,174,739
dep_29,false,345,1811,177,1042,147,1699
