DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,true,698,1327,183,613,160,1079
dep_1,true,250,1256,35,1784,67,1028
dep_2,true,202,1400,181,728,37,825
dep_3,true,708,1850,138,1730,162,1494
dep_4,true,218,1687,24,1244,88,1747
dep_5,false,150,1095,153,1067,91,1884
dep_6,true,261,1411,56,1499,10,649
dep_7,false,497,1767,140,952,91,1917
dep_8,false,110,1816,91,539,25,863
dep_9,true,828,1451,48,1939,155,699
dep_10,false,524,1757,19,583,181,1280
dep_11,false,989,1438,106,1574,56,1812
dep_12,false,926,1335,111,621,188,1737
dep_13,true,635,1146,11,923,22,822
dep_14,true,515,1860,136,1832,91,1107
dep_15,false,572,1540,75,522,42,864
dep_16,false,507,1474,129,1306,197,630
dep_17,true,558,1597,124,1521,6,1468
dep_18,true,342,1510,163,738,49,1751
dep_19,true,236,1301,32,609,89,1143
dep_20,true,593,1608,52,823,108,1822
dep_21,false,243,1417,101,1359,62,776
dep_22,true,251,1484,103,1549,187,1955
dep_23,true,457,1544,12,1225,114,1743
dep_24,true,888,1312,157,1325,89,666
dep_25,true,795,1018,162,835,93,1237
dep_26,false,825,1567,42,835,89,911
dep_27,false,926,1220,93,1440,174,1968
dep_28,false,372,1336,143,700,62,1396
dep_29,false,200,1330,169,1828,142,1362
