DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,884,1677,11,1688,161,810
dep_1,true,631,1152,65,627,74,819
dep_2,true,486,1685,156,527,66,1486
dep_3,false,838,1522,42,1669,55,1933
dep_4,true,134,1993,58,772,140,1911
dep_5,false,315,1651,26,633,53,1966
dep_6,true,389,1411,128,861,120,809
dep_7,true,224,1023,155,1408,46,1873
dep_8,true,793,1313,114,749,7,827
dep_9,false,739,1423,44,585,18,1385
dep_10,true,897,1511,65,1078,56,1193
dep_11,false,570,1993,52,1200,136,630
dep_12,false,797,1905,56,911,15,1478
dep_13,true,329,1962,149,893,71,633
dep_14,false,681,1222,105,646,89,1210
dep_15,true,105,1421,33,954,112,1820
dep_16,false,523,1294,43,807,102,1502
dep_17,true,766,1347,117,697,56,1961
dep_18,false,115,1992,191,763,147,1408
dep_19,true,397,1569,53,706,130,1235
dep_20,true,210,1049,190,662,120,1044
dep_21,false,385,1643,147,1953,97,1141
dep_22,true,973,1543,148,1744,190,1191
dep_23,false,566,1327,138,511,123,962
dep_24,false,180,1683,104,1623,171,860
dep_25,false,595,1291,89,1927,136,1398
dep_26,true,687,1187,96,1929,142,924
dep_27,false,842,1944,146,703,25,1690
dep_28,false,351,1485,165,847,8,1365
dep_29,false,397,1246,164,608,43,1821
