DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,true,110,1072,24,1771,150,1744
dep_1,true,365,1906,65,762,122,612
dep_2,false,888,1585,73,640,86,1102
dep_3,true,658,1343,146,1605,115,1332
dep_4,true,233,1582,35,1168,125,1882
dep_5,true,338,1891,158,1473,194,1469
dep_6,true,182,1449,196,1654,164,1740
dep_7,false,453,1158,77,1080,93,1972
dep_8,true,219,1340,129,1102,174,1312
dep_9,false,902,1874,65,1973,41,1737
dep_10,true,687,1318,143,1802,61,740
dep_11,true,629,1607,43,1759,180,862
dep_12,true,972,1826,80,590,136,1172
dep_13,false,912,1117,67,1410,34,1946
dep_14,true,356,1902,161,1358,182,1427
dep_15,true,408,1053,149,1018,127,852
dep_16,true,471,1104,179,1916,64,1054
dep_17,false,996,1713,116,1248,46,1231
dep_18,true,945,1497,61,639,191,1145
dep_19,false,341,1730,70,544,196,1198
dep_20,false,116,1005,179,1231,199,1231
dep_21,true,806,1293,11,1390,160,1029
dep_22,true,962,1674,199,1761,153,658
dep_23,true,514,1328,111,651,72,1705
dep_24,true,761,1382,127,1266,70,672
dep_25,true,120,1000,192,575,140,1881
dep_26,true,314,1902,30,1509,183,1887
dep_27,true,998,1975,107,615,154,1622
dep_28,false,629,1006,12,1092,80,927
dep_29,true,365,1113,127,1673,188,904
