DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,671,1359,78,723,30,1193
dep_1,true,766,1442,163,1589,70,1077
dep_2,true,730,1870,172,928,114,1296
dep_3,true,700,1989,157,1084,134,1538
dep_4,true,210,1095,17,1202,29,754
dep_5,false,786,1849,152,951,22,1162
dep_6,true,812,1952,59,637,173,1639
dep_7,true,669,1952,148,1406,52,645
dep_8,false,806,1115,111,1461,199,1178
dep_9,false,517,1024,135,1636,53,1990
dep_10,true,842,1784,175,1692,25,1086
dep_11,true,410,1401,164,1611,149,910
dep_12,false,397,1791,91,1181,198,1937
dep_13,true,441,1360,107,1600,135,1636
dep_14,false,935,1469,114,695,64,1413
dep_15,true,104,1161,10,1230,151,1580
dep_16,false,743,1942,147,949,175,1175
dep_17,true,555,1977,33,662,81,1623
dep_18,false,954,1006,115,526,98,1055
dep_19,false,351,1906,74,1246,119,602
dep_20,false,436,1078,53,1701,70,1331
dep_21,false,375,1265,28,1027,154,1717
dep_22,false,104,1209,45,1878,137,1099
dep_23,false,369,1823,63,1355,6,1906
dep_24,false,175,1694,136,595,135,1558
dep_25,true,556,1372,108,1516,122,720
dep_26,true,508,1729,175,1661,94,1855
dep_27,false,378,2000,26,1001,12,854
dep_28,true,408,1372,162,1230,27,1328
dep_29,true,1000,1225,100,1385,78,1976
