DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,true,218,1441,142,919,105,804
dep_1,false,458,1967,12,1456,53,964
dep_2,false,198,1257,59,1144,166,1604
dep_3,false,938,1154,101,1545,14,1596
dep_4,false,941,1930,178,1907,31,615
dep_5,true,829,1463,150,1745,119,1981
dep_6,true,534,1604,34,1781,196,671
dep_7,false,329,1659,173,1050,22,1876
dep_8,true,647,1427,33,657,73,1068
dep_9,true,145,1153,27,767,6,1670
dep_10,false,536,1237,175,692,14,748
dep_11,true,456,1113,102,1755,34,1801
dep_12,true,399,1093,97,639,35,1428
dep_13,false,435,1524,77,622,165,1693
dep_14,false,679,1416,198,633,144,862
dep_15,true,926,1875,15,850,87,1868
dep_16,false,527,1905,140,948,172,1046
dep_17,false,961,1542,152,1255,89,828
dep_18,true,558,1685,85,569,84,939
dep_19,true,813,1967,55,1381,130,602
dep_20,true,312,1120,29,1833,51,603
dep_21,false,558,1431,57,1939,74,1832
dep_22,false,247,1436,155,1828,28,1198
dep_23,false,584,1591,152,751,58,1482
dep_24,true,641,1247,83,695,133,1075
dep_25,false,997,1971,114,1068,52,1190
dep_26,true,540,1596,179,761,80,1549
dep_27,true,540,1471,54,1936,42,1190
dep_28,false,954,1463,19,832,196,1135
dep_29,true,136,1040,179,1315,38,1558
