DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,true,230,1200,147,1922,153,824
dep_1,true,923,1684,186,761,176,1762
dep_2,false,691,1258,142,1872,123,1382
dep_3,false,137,1183,102,768,105,1238
dep_4,true,223,1367,88,983,25,1380
dep_5,true,948,1671,50,1007,45,937
dep_6,false,883,1757,191,1677,48,776
dep_7,true,910,1469,37,693,57,1802
dep_8,true,438,1697,18,1254,54,1531
dep_9,false,614,1117,96,573,192,1181
dep_10,true,572,1247,52,1313,95,656
dep_11,true,644,1449,15,751,105,1047
dep_12,false,431,1291,145,595,199,1862
dep_13,false,415,1804,137,1882,61,1560
dep_14,false,345,1836,96,1482,35,1268
dep_15,true,953,1959,123,939,77,1722
dep_16,false,400,1192,137,1636,34,782
dep_17,false,393,1410,169,1884,193,1982
dep_18,false,107,1660,103,1441,52,750
dep_19,false,498,1750,104,1688,191,1217
dep_20,true,166,1052,113,1677,151,1335
dep_21,true,654,1806,42,1671,72,687
dep_22,false,233,1928,72,675,31,845
dep_23,false,819,1321,92,808,132,1364
dep_24,true,100,1282,54,1538,117,1753
dep_25,false,184,1332,122,1356,55,1899
dep_26,false,137,1431,40,1022,128,984
dep_27,false,501,1982,99,973,42,1811
dep_28,false,306,1627,78,1150,44,1953
dep_29,false,274,1434,144,1310,158,1812
