DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,731,1625,161,625,116,1174
dep_1,false,323,1737,60,1095,105,896
dep_2,false,105,1700,92,1047,10,1363
dep_3,false,518,1038,80,1008,11,1509
dep_4,true,224,1235,70,1432,196,994
dep_5,false,743,1873,49,1541,60,905
dep_6,false,967,1609,125,554,62,882
dep_7,false,229,1746,103,734,116,1165
dep_8,true,714,1748,74,1651,10,1526
dep_9,true,934,1178,65,1049,162,932
dep_10,false,283,1880,51,1023,76,1300
dep_11,false,213,1095,72,934,79,723
dep_12,false,198,1912,71,1348,172,1928
dep_13,false,559,1491,104,1514,82,1183
dep_14,true,307,1130,122,1846,147,1637
dep_15,false,855,1424,25,1704,62,1607
dep_16,true,631,1915,41,1758,188,1601
dep_17,false,409,1227,109,610,166,853
dep_18,true,767,1021,164,1776,90,922
dep_19,false,827,1460,200,1898,131,1097
dep_20,true,861,1617,35,1520,113,1554
dep_21,false,635,1018,131,1560,14,1841
dep_22,false,401,1189,180,1682,83,944
dep_23,false,126,1069,25,540,172,1151
dep_24,false,986,1575,178,800,53,1498
dep_25,true,981,1259,121,1141,102,1248
dep_26,true,967,1552,146,1180,107,1870
dep_27,false,898,1699,145,1642,66,1887
dep_28,true,381,1875,188,1333,191,1782
dep_29,true,509,1731,100,1426,180,693
