DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,true,407,1042,29,1168,161,858
dep_1,true,782,1659,188,1148,162,755
dep_2,false,214,1607,23,1934,50,1060
dep_3,false,489,1205,75,1488,100,754
dep_4,true,215,1289,188,1054,6,1998
dep_5,false,585,1523,47,1962,108,1345
dep_6,false,178,1921,167,788,133,1242
dep_7,false,960,1314,50,1307,36,1726
dep_8,false,345,1090,62,832,116,872
dep_9,false,725,1752,173,1555,75,1899
dep_10,true,292,1582,157,1460,130,1193
dep_11,true,949,1662,178,1629,196,1886
dep_12,false,469,1783,169,1942,27,947
dep_13,true,821,1845,53,1595,74,1885
dep_14,false,289,1556,19,1988,146,1819
dep_15,true,787,1782,159,1787,191,736
dep_16,true,449,1511,76,1702,20,1885
dep_17,false,248,1344,85,1498,175,1385
dep_18,true,701,1957,67,1389,174,1891
dep_19,false,719,1293,84,1463,78,952
dep_20,true,608,1203,72,1997,72,1781
dep_21,false,440,1369,162,795,189,1680
dep_22,true,684,1070,188,1423,71,614
dep_23,true,417,1907,180,1816,170,1970
dep_24,false,326,1989,18,524,80,1751
dep_25,false,505,1187,33,1766,157,1976
dep_26,true,500,1148,175,1728,178,1921
dep_27,true,903,1230,146,778,160,1062
dep_28,true,734,1902,82,1875,130,1401
dep_29,true,809,1684,58,1824,158,1125
