DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,288,1713,35,1483,123,1076
dep_1,false,956,1920,102,1347,66,839
dep_2,true,750,1915,156,1544,39,1257
dep_3,false,686,1050,166,1097,82,1027
dep_4,false,669,1922,199,612,189,1459
dep_5,true,240,1540,116,1476,23,1753
dep_6,false,628,1319,54,1279,102,708
dep_7,false,193,1406,62,1976,85,715
dep_8,false,321,1116,101,1912,106,1399
dep_9,false,655,1526,17,1364,160,748
dep_10,false,294,1231,195,1915,123,1084
dep_11,false,930,1359,39,1020,34,1225
dep_12,false,810,1183,16,1790,148,1239
dep_13,false,186,1013,20,846,122,1021
dep_14,true,820,1235,117,1076,194,631
dep_15,false,552,1738,146,1301,190,1481
dep_16,true,142,1882,192,885,10,1537
dep_17,true,692,1248,76,1060,142,1332
dep_18,false,459,1883,169,863,166,1335
dep_19,false,240,1606,62,1041,95,660
dep_20,true,767,1577,177,1663,147,1663
dep_21,true,731,1558,67,1664,12,1867
dep_22,true,499,1082,50,543,178,631
dep_23,false,277,1799,55,979,20,1141
dep_24,false,742,1346,37,1565,18,1476
dep_25,true,539,1100,88,991,17,856
dep_26,true,903,1967,132,1085,199,1811
dep_27,true,722,1088,179,1508,66,1803
dep_28,true,126,1595,11,1766,192,1736
dep_29,false,317,1969,188,1965,139,1369
