DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,true,196,1436,89,1029,9,671
dep_1,true,858,1516,39,1914,145,1087
dep_2,false,279,1792,167,1297,125,878
dep_3,true,457,1071,92,1479,55,1360
dep_4,false,733,1252,39,1699,78,1968
dep_5,false,566,1817,125,1840,107,1884
dep_6,true,710,1417,61,615,45,709
dep_7,true,789,1226,199,1782,56,1760
dep_8,true,261,1751,145,1816,115,1630
dep_9,false,311,1242,75,1971,21,818
dep_10,false,237,1214,189,1655,52,1667
dep_11,false,243,1170,142,548,193,755
dep_12,true,852,1495,130,1678,185,1828
dep_13,false,361,1260,65,1450,45,1766
dep_14,false,901,1560,131,1110,17,1060
dep_15,false,135,1961,140,844,168,1696
dep_16,true,654,1934,167,1756,40,1021
dep_17,false,836,1905,163,1677,68,1407
dep_18,true,170,1151,22,1686,18,1805
dep_19,false,739,1821,197,1747,182,717
dep_20,true,371,1918,177,1499,24,1803
dep_21,true,193,1568,172,1186,146,1218
dep_22,true,476,1038,130,578,32,1893
dep_23,true,253,1293,95,1543,31,974
dep_24,true,618,1215,20,1520,43,1427
dep_25,true,467,1428,15,1187,122,1677
dep_26,false,123,1380,183,1556,172,731
dep_27,false,817,1392,80,967,63,1040
dep_28,false,857,1854,141,843,12,1057
dep_29,false,851,1172,182,1875,24,1893
