DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,161,1640,129,1730,19,1844
dep_1,true,267,1853,22,1776,181,1177
dep_2,true,581,1961,104,1211,103,916
dep_3,false,667,1683,164,1702,41,1244
dep_4,false,199,1626,161,1139,92,876
dep_5,false,802,1656,138,1021,199,977
dep_6,true,288,1364,39,1538,106,1689
dep_7,true,514,1167,76,1307,143,1795
dep_8,true,752,1422,163,849,12,1510
dep_9,true,795,1025,34,1317,35,1453
dep_10,false,210,1642,38,723,108,1842
dep_11,true,293,1454,54,1659,11,979
dep_12,false,574,1118,19,1564,109,1174
dep_13,false,372,1263,49,1611,60,1336
dep_14,false,373,1789,181,953,111,717
dep_15,true,867,1585,65,1848,184,1880
dep_16,true,685,1268,65,883,188,1071
dep_17,false,107,1689,190,1222,64,658
dep_18,false,958,1996,45,1963,170,957
dep_19,false,931,1447,150,1882,123,643
dep_20,false,620,1250,126,541,89,1794
dep_21,false,946,1989,72,1482,123,886
dep_22,false,976,1813,90,1997,84,1843
dep_23,false,227,1097,148,618,93,623
dep_24,false,683,1661,40,749,99,1822
dep_25,true,305,1994,132,1050,168,1396
dep_26,true,957,1980,107,747,194,1677
dep_27,true,148,1250,28,1103,171,1681
dep_28,true,441,1728,179,919,70,850
dep_29,true,171,1902,37,1006,152,1749
