DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,true,517,1500,100,691,141,865
dep_1,true,441,1388,16,1608,88,1377
dep_2,false,509,1686,84,1321,51,1988
dep_3,true,131,1715,127,1631,126,829
dep_4,false,522,1558,13,543,107,938
dep_5,true,815,1120,156,723,184,714
dep_6,true,956,1559,66,911,101,1287
dep_7,false,814,1354,181,1183,170,1170
dep_8,false,820,1968,119,1840,195,1876
dep_9,false,840,1669,24,931,133,730
dep_10,true,492,1008,192,1985,24,718
dep_11,false,938,1327,190,1755,65,1348
dep_12,true,854,1966,88,1169,18,1748
dep_13,false,379,1928,86,678,151,1859
dep_14,true,164,1616,13,534,93,1356
dep_15,true,730,1099,121,1176,118,1557
dep_16,false,520,1275,65,832,103,1745
dep_17,false,461,1330,31,1746,51,1721
dep_18,true,326,1498,150,1789,6,683
dep_19,false,290,1330,66,1959,89,890
dep_20,false,692,1250,20,1897,185,1197
dep_21,true,200,1886,33,1591,134,1959
dep_22,true,737,1902,101,1708,32,768
dep_23,false,521,1577,133,1245,106,1525
dep_24,false,858,1176,59,1101,198,1675
dep_25,false,889,1851,196,528,87,1536
dep_26,true,419,1933,162,1326,126,1358
dep_27,true,584,1348,51,798,85,1623
dep_28,true,669,1979,121,1770,76,1115
dep_29,false,900,1739,82,1352,120,1267
