DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,false,630,1342,76,632,137,1724
dep_1,false,574,1402,46,999,52,925
dep_2,false,376,1576,69,1741,157,966
dep_3,false,951,1309,98,973,36,1959
dep_4,false,270,1319,93,1761,139,1576
dep_5,false,787,1840,88,509,170,960
dep_6,false,595,1092,26,757,121,977
dep_7,true,344,1980,55,585,127,1755
dep_8,true,798,1795,155,1854,54,1505
dep_9,true,504,1539,190,1633,71,1566
dep_10,false,159,1713,63,847,56,1038
dep_11,false,603,1774,45,1172,171,1281
dep_12,true,706,1567,25,1691,92,614
dep_13,false,550,1744,193,759,8,1778
dep_14,true,554,1309,31,1849,38,852
dep_15,false,721,1296,20,1401,189,1434
dep_16,false,801,1296,27,1458,61,1175
dep_17,false,750,1251,172,807,119,902
dep_18,false,151,1690,44,646,189,1513
dep_19,false,357,1790,19,1141,169,1847
dep_20,true,565,1385,57,709,200,1302
dep_21,true,495,1255,67,909,23,1420
dep_22,false,128,1936,111,979,167,1041
dep_23,false,236,1902,61,1692,15,668
dep_24,true,244,1575,136,1632,144,1295
dep_25,true,353,1261,147,727,137,607
dep_26,true,225,1530,191,1687,79,1606
dep_27,true,982,1606,181,1451,30,1910
dep_28,false,252,1668,141,738,196,896
dep_29,true,780,1840,170,1310,58,1414
