DEPENDENCY_ID,DIRECT_DEPENDENCY,INSTRUCTION_COVERED,INSTRUCTION_TOTAL,METHOD_COVERED,METHOD_TOTAL,CLASS_COVERED,CLASS_TOTAL
dep_0,true,543,1873,100,2000,50,1000
dep_1,false,267,1337,200,1900,80,1500
dep_2,false,1000,1504,150,1800,70,1400
dep_3,false,529,1557,180,1750,90,1600
dep_4,true,318,1511,120,1650,60,1300
dep_5,false,726,1219,140,1700,75,1450
dep_6,true,998,1302,130,1600,65,1350
dep_7,false,154,1250,160,1550,85,1700
dep_8,false,755,1218,170,1450,95,1800
dep_9,true,533,1368,90,1350,55,1200
dep_10,false,299,1554,110,1250,45,1100
dep_11,true,588,1512,100,1300,40,1050
dep_12,false,530,1842,130,1200,30,1000
dep_13,true,908,1716,150,1150,25,950
dep_14,true,488,1681,160,1100,20,850
dep_15,false,514,1543,170,1050,15,800
dep_16,true,518,1382,180,1000,10,750
dep_17,true,287,1548,190,950,5,600
dep_18,false,441,1480,200,900,200,2000
dep_19,true,954,1576,120,850,150,1900
dep_20,true,672,1234,130,800,140,1800
dep_21,false,365,1321,140,750,130,1700
dep_22,false,774,1429,150,700,120,1600
dep_23,false,647,1811,160,650,110,1500
dep_24,false,227,1578,170,600,100,1400
dep_25,true,385,1619,180,550,90,1300
dep_26,false,168,1775,190,500,80,1200
dep_27,false,123,1282,200,450,70,1100
dep_28,false,478,1568,110,400,60,1000
dep_29,true,101,1626,120,350,50,900
